id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1527642426457763842,1527429170879418368,2022-05-20 13:28:31 UTC,2022-05-20,13:28:31,+0000,1405978162752802816,dwgkelsey,David.NS,,"@brian9306 @kempthead @TimHoustonNS I think it's simple. We've spent the last 2 years focused on COVID, it's time for the government to start governing again. There's been a huge investment in education, testing and vaccination, time for people to fly. There are bigger fish to fry, cost of living and low wages.",en,[],[],[],1,0,2,[],[],https://twitter.com/dwgkelsey/status/1527642426457763842,False,,0,,,,,,,,"[{'screen_name': 'brian9306', 'name': 'Brian Evans', 'id': '2740528327'}, {'screen_name': 'kempthead', 'name': 'Parker Donham', 'id': '23772203'}, {'screen_name': 'TimHoustonNS', 'name': 'Tim Houston', 'id': '1346851741'}]",,,,
1527638069377175552,1527635343415066625,2022-05-20 13:11:12 UTC,2022-05-20,13:11:12,+0000,1360798378670649348,jefflee81258649,jeff lee,,"@dajiyuan Extreme prevention and control lead to the loss of a large number of foreign teachers, and Chinese international schools are hurt  Due to the CCP's strict COVID-19 epidemic prevention and control and tightening education rules, a large number of foreign teachers are constantly",en,[],[],[],0,0,0,[],[],https://twitter.com/jefflee81258649/status/1527638069377175552,False,,0,,,,,,,,"[{'screen_name': 'dajiyuan', 'name': '大纪元新闻网', 'id': '56572394'}]",,,,
1527637836228440064,1527329837857136645,2022-05-20 13:10:16 UTC,2022-05-20,13:10:16,+0000,1215325973228457990,experience_rio,ExperienceRio,,"@ferreirinharj And let's not forget about the school system was treated....tens of thousands of kids could of benefited with homeschooling during covid. The school system here was broken. First to close, last to open...2 years where kids got inconsistent education from the STATE..",en,[],[],[],0,0,0,[],[],https://twitter.com/experience_rio/status/1527637836228440064,False,,0,,,,,,,,"[{'screen_name': 'ferreirinharj', 'name': 'Renan Ferreirinha', 'id': '1006202251990437888'}]",,,,
1527636521712484352,1527636521712484352,2022-05-20 13:05:03 UTC,2022-05-20,13:05:03,+0000,488793283,shelbytnhealth,Shelby County Health,,"Get a jump on back to school at our free vaccine event Saturday, May 21st at Memphis-Shelby County Board of Education, 160 S. Hollywood St. Get vaccines required for school entry and COVID-19 vaccines for kids &amp; adults.  https://t.co/hGU5bOzOdP",en,[],[],"['https://pbs.twimg.com/media/FTNBUe_WQAEHmU2.jpg', 'https://pbs.twimg.com/media/FTNBUh6XwAAS6F8.jpg']",0,2,3,[],[],https://twitter.com/ShelbyTNHealth/status/1527636521712484352,False,,1,https://pbs.twimg.com/media/FTNBUe_WQAEHmU2.jpg,,,,,,,[],,,,
1527635263589076993,1527635263589076993,2022-05-20 13:00:03 UTC,2022-05-20,13:00:03,+0000,207605531,jncqonline,Nursing Care Quality,,"#ClinicalNurseLeaders ""Interprofessional Pediatric COVID-19 Education for Graduate and Undergraduate Health Care Students""  The goal of the educational sessions is to examine the effects of #COVID19 on children through an IPE simulation.   https://t.co/8NmIWu3cic  https://t.co/YPsGXS4GiQ",en,[],['https://bit.ly/3FweVvi'],['https://pbs.twimg.com/media/FSp2bv8WUAAyeXh.jpg'],0,0,0,"['clinicalnurseleaders', 'covid19']",[],https://twitter.com/JNCQonline/status/1527635263589076993,False,,1,https://pbs.twimg.com/media/FSp2bv8WUAAyeXh.jpg,,,,,,,[],,,,
1527635225727184897,1525496920935960581,2022-05-20 12:59:54 UTC,2022-05-20,12:59:54,+0000,1416083084705939461,contraog,OG Contra Band,,"@ACLU When we getting these class action suits for Fox, anyone who want deradicalized should get free education and deradicalization services.   Those who were told covid was a hoax and to take ivirmectin are owed money.  I thought yall were lawyers?  Wasted class actions",en,[],[],[],0,0,0,[],[],https://twitter.com/ContraOg/status/1527635225727184897,False,,0,,,,,,,,"[{'screen_name': 'ACLU', 'name': 'ACLU', 'id': '13393052'}]",,,,
1527635198417981440,1527635198417981440,2022-05-20 12:59:48 UTC,2022-05-20,12:59:48,+0000,33149630,freakinbox,Freakinbox,,"Ummm so there are people who think the people vaccinated against covid are ""shedding"" monkey pox... And are afraid we will give them other viruses now  I'm at a loss.. The education system failed almost everyone...",en,[],[],[],0,0,0,[],[],https://twitter.com/freakinbox/status/1527635198417981440,False,,0,,,,,,,,[],,,,
1527635034965934083,1527635030205407232,2022-05-20 12:59:09 UTC,2022-05-20,12:59:09,+0000,137858180,elaberwarren,Emily Laber-Warren,,"This group was our biggest health/sci cohort ever, and they were passionate about their beats, which ranged widely: migraines, vector-borne diseases, sex education, long COVID, LGBTQ reproductive health, incarceration and health, grief...",en,[],[],[],1,0,6,[],[],https://twitter.com/elaberwarren/status/1527635034965934083,False,,0,,,,,,,,[],,,,
1527631304682049539,1527631304682049539,2022-05-20 12:44:19 UTC,2022-05-20,12:44:19,+0000,593054821,henry_hepburn,Henry Hepburn,,In past week I've been to my first education conference since before Covid and @Emma_Seith has visited a school for the first time since before Covid - but where should we go next?  https://t.co/kOms4OOutq @TesScotland @tes,en,"[{'screen_name': 'emma_seith', 'name': 'emma seith', 'id': '743032790019608576'}, {'screen_name': 'tesscotland', 'name': 'tes scotland', 'id': '106125898'}, {'screen_name': 'tes', 'name': 'tes', 'id': '78874095'}]",['https://www.tes.com/magazine/analysis/general/why-we-want-see-scottish-education-close-again'],[],2,4,6,[],[],https://twitter.com/Henry_Hepburn/status/1527631304682049539,False,,0,,,,,,,,[],,,,
1527630266386239489,1527624003732623360,2022-05-20 12:40:12 UTC,2022-05-20,12:40:12,+0000,1321849921557979136,maddalenari,Maddalena,,"@gaylegoldin You mean like voilating our bodily autonomy &amp; medical consent with mandates for INDEMNIFIED pharmaceuticals that don't stop Covid transmission and rob us of jobs, access to education &amp; our livelihoods?",en,[],[],[],0,0,2,[],[],https://twitter.com/MaddalenaRI/status/1527630266386239489,False,,0,,,,,,,,"[{'screen_name': 'gaylegoldin', 'name': 'Gayle Goldin', 'id': '475287482'}]",,,,
1527627997162913792,1527627997162913792,2022-05-20 12:31:11 UTC,2022-05-20,12:31:11,+0000,140625582,hoodresearch,Hood Research,,This would be the largest tax cut in Michigan. The last two tax cuts decimated funding for education and cities.  This is using Covid $ to reduce actual taxes and those funds are limited.   https://t.co/dFQCSIAaA6 via @freep,en,"[{'screen_name': 'freep', 'name': 'detroit free press', 'id': '8795772'}]",['https://www.freep.com/story/news/politics/2022/05/19/michigan-legislature-tax-cut-seniors-income-whitmer/9837564002/'],[],0,0,0,[],[],https://twitter.com/HoodResearch/status/1527627997162913792,False,,0,,,,,,,,[],,,,
1527627789238771712,1527627789238771712,2022-05-20 12:30:21 UTC,2022-05-20,12:30:21,+0000,4069503732,heebijibi,🌙,,can you imagine your classmates constantly complaining about covid and how much it’s destroyed people’s physical and mental health and the research on it in education but refuse to wear their masks despite it being the most effective way to reduce transmission? 🤔,en,[],[],[],1,0,0,[],[],https://twitter.com/heebijibi/status/1527627789238771712,False,,0,,,,,,,,[],,,,
1527627743130750979,1527627743130750979,2022-05-20 12:30:10 UTC,2022-05-20,12:30:10,+0000,831314632589590531,booksbhindbars,"Books Behind Bars: Life, Literature, & Leadership",,The pandemic interrupted classes at correctional facilities as well as at educational institutions. How did the pandemic affect your own or your family’s education?  Ways COVID-19 and #SocialJustice Intersect in Higher Ed | @campustech  https://t.co/RtDR6J1Is9  #Pandemic  https://t.co/tlNIKyloZO,en,"[{'screen_name': 'campustech', 'name': 'campustech', 'id': '14106346'}]",['http://ow.ly/zQAC30rH26j'],['https://pbs.twimg.com/media/FTM5VmfWIAMrWIB.jpg'],0,7,1,"['socialjustice', 'pandemic']",[],https://twitter.com/BooksBhindBars/status/1527627743130750979,False,,1,https://pbs.twimg.com/media/FTM5VmfWIAMrWIB.jpg,,,,,,,[],,,,
1527624880467824640,1527624880467824640,2022-05-20 12:18:48 UTC,2022-05-20,12:18:48,+0000,207771979,chefallemeier,ChefAllemeier,,"Albertans, let’s not forget @jkenney lost his @UCPCaucus non confidence vote not because he’s destroyed healthcare and education. But, because his base feel he’s been too tough on covid restrictions! Let that sink in…#AbLeg #abpoli",en,"[{'screen_name': 'jkenney', 'name': 'jason kenney 🇺🇦', 'id': '21525682'}, {'screen_name': 'ucpcaucus', 'name': 'united conservative caucus 🇺🇦', 'id': '886687004112560130'}]",[],[],0,0,17,"['ableg', 'abpoli']",[],https://twitter.com/ChefAllemeier/status/1527624880467824640,False,,0,,,,,,,,[],,,,
